128,0.5,0.2,40,0.01,16,0.01,0.001,pokec_n,1,0.6302521008403361,fairGNN_gcn
128,0.3,0.2,7,0.001,16,0.01,0.0001,pokec_n,2,0.6231415643180349,fairGNN_gcn
64,0.7,0.5,40,0.01,4,0.01,0.01,pokec_n,3,0.6257272139625081,fairGNN_gcn
128,0.6,0.3,20,0.0001,128,0.01,0.01,pokec_n,4,0.6296056884292178,fairGNN_gcn
128,0.6,0.2,7,0.1,4,0.01,0.01,pokec_n,5,0.6315449256625727,fairGNN_gcn
256,0.3,0.2,10,0.01,16,0.01,1e-05,pokec_n,1,0.6451195862960569,fairGNN_gat
256,0.6,0.6,20,0.001,128,0.01,1e-05,pokec_n,2,0.6192630898513252,fairGNN_gat
128,0.7,0.3,7,0.01,16,0.01,0.0001,pokec_n,3,0.6347769877181642,fairGNN_gat
64,0.7,0.4,40,0.001,8,0.01,0.01,pokec_n,1,0.6489980607627667,fairGNN_sage
16,0.5,0.2,5,0.1,64,0.01,0.001,pokec_n,4,0.6283128636069812,fairGNN_gat
64,0.3,0.6,3,0.01,16,0.01,0.0001,pokec_n,2,0.6399482870071105,fairGNN_sage
256,0.5,0.5,20,0.1,16,0.001,0.001,pokec_n,3,0.6380090497737556,fairGNN_sage
128,0.7,0.5,4,0.1,8,0.01,0.001,pokec_n,5,0.6283128636069812,fairGNN_gat
64,0.3,0.2,10,0.001,16,0.01,0.0001,pokec_n,4,0.632191338073691,fairGNN_sage
64,0.7,0.6,40,0.01,4,0.01,0.001,pokec_n,1,0.6522301228183581,fairGNN_sage
128,0.6,0.5,3,0.01,128,0.001,0.001,pokec_n,2,0.6315449256625727,fairGNN_sage
128,0.5,0.4,3,0.0001,128,0.01,0.001,pokec_n,5,0.6360698125404007,fairGNN_sage
128,0.7,0.4,20,0.001,16,0.001,0.001,pokec_n,3,0.6308985132514544,fairGNN_sage
256,0.7,0.3,7,0.001,16,0.01,0.001,pokec_n,1,0.6069812540400775,fairGNN_gcn
16,0.7,0.3,20,0.001,8,1e-05,0.001,pokec_n,2,0.5261797026502909,fairGNN_gcn
16,0.6,0.7,10,0.001,64,0.001,0.0001,pokec_n,3,0.4970911441499677,fairGNN_gcn
16,0.5,0.69,20,0.1,16,0.001,0.01,pokec_n,4,0.5061409179056238,fairGNN_gcn
128,0.7,0.2,7,0.1,8,0.01,0.0001,pokec_n,5,0.5888817065287654,fairGNN_gcn
256,0.3,0.5,4,0.001,4,0.0001,0.001,pokec_n,1,0.6050420168067226,fairGNN_gat
64,0.6,0.2,20,0.001,16,0.01,0.0001,pokec_n,2,0.5921137685843568,fairGNN_gat
16,0.6,0.2,3,0.1,64,0.01,0.001,pokec_n,3,0.5746606334841629,fairGNN_gat
256,0.3,0.7,4,0.0001,64,0.0001,0.0001,pokec_n,4,0.5087265675500969,fairGNN_gat
64,0.7,0.5,7,0.1,4,1e-05,1e-05,pokec_n,5,0.5688429217840982,fairGNN_gat
128,0.3,0.4,5,0.1,8,0.01,0.001,pokec_n,1,0.6224951519069166,fairGNN_sage
256,0.6,0.7,10,0.1,4,0.0001,0.01,pokec_n,2,0.4466709760827408,fairGNN_sage
128,0.6,0.2,4,0.01,8,0.0001,0.0001,pokec_n,3,0.5914673561732385,fairGNN_sage
256,0.7,0.6,6,0.001,8,0.0001,0.0001,pokec_n,4,0.44537815126050423,fairGNN_sage
128,0.6,0.5,7,0.001,4,0.001,0.001,pokec_n,5,0.590174531351002,fairGNN_sage
