256,128,0.0001,0.01,0.7,0.1,0.001,0.001,0.1,pokec_z,1,0.6522193211488251,Niftygcn
128,16,1e-05,0.01,0.5,0.0001,0.0001,0.1,0.0001,income,1,0.7835941716135996,Niftygcn
64,32,0.01,1e-06,0.6,0.1,0.0001,0.0001,0.0001,bail,1,0.8715829624920534,Niftygcn
16,32,0.01,0.001,0.4,0.1,0.1,0.0001,0.1,nba,2,0.7183098591549296,Niftygcn
128,16,0.0001,0.01,0.6,0.0001,0.001,0.1,0.1,nba,3,0.7370892018779343,Niftygcn
256,16,0.01,0.01,0.6,0.001,0.1,0.001,0.001,pokec_n,2,0.6037491919844861,Niftygcn
64,4,0.01,1e-06,0.7,0.0001,0.0001,0.0001,0.001,pokec_z,2,0.6276762402088772,Niftygcn
64,64,0.01,0.01,0.6,0.1,0.0001,0.1,0.0001,income,2,0.7906098219104155,Niftygcn
16,256,0.01,0.0001,0.4,0.0001,0.0001,0.0001,0.1,nba,4,0.676056338028169,Niftygcn
256,256,0.01,1e-05,0.5,0.001,0.001,0.1,0.0001,bail,2,0.9010383555838102,Niftygcn
128,256,0.01,1e-06,0.4,0.0001,0.1,0.1,0.001,nba,5,0.6995305164319249,Niftygcn
64,4,0.01,0.01,0.5,0.001,0.001,0.1,0.0001,income,3,0.7895304910955208,Niftygcn
4,16,0.01,1e-05,0.5,0.001,0.0001,0.0001,0.001,bail,3,0.8330154693791058,Niftygcn
256,256,0.01,0.01,0.7,0.001,0.0001,0.1,0.001,income,4,0.7924986508364814,Niftygcn
256,256,0.01,1e-05,0.7,0.0001,0.1,0.001,0.0001,bail,4,0.891290527654164,Niftygcn
256,128,0.01,1e-06,0.6,0.0001,0.001,0.0001,0.0001,pokec_n,3,0.6089204912734324,Niftygcn
256,32,0.0001,0.01,0.7,0.001,0.1,0.001,0.1,pokec_z,3,0.6600522193211488,Niftygcn
128,128,1e-05,1e-06,0.6,0.001,0.001,0.1,0.001,income,5,0.7992444684295736,Niftygcn
128,128,0.01,0.0001,0.7,0.001,0.0001,0.001,0.0001,bail,5,0.8573850392032211,Niftygcn
256,16,0.01,1e-05,0.7,0.001,0.0001,0.1,0.0001,pokec_n,4,0.612152553329024,Niftygcn
128,128,0.01,0.01,0.3,0.1,0.0001,0.001,0.1,pokec_z,4,0.6318537859007833,Niftygcn
256,256,0.01,0.0001,0.5,0.001,0.001,0.001,0.1,pokec_n,5,0.6373626373626373,Niftygcn
256,4,0.01,0.01,0.6,0.1,0.1,0.0001,0.1,pokec_z,5,0.633420365535248,Niftygcn
32,32,0.01,1e-05,0.3,0.001,0.0001,0.1,0.0001,bail,1,0.8942572578936215,Niftygat
4,64,0.01,0.0001,0.3,0.1,0.1,0.001,0.001,bail,2,0.9076075439711804,Niftygat
64,64,0.01,1e-05,0.7,0.001,0.1,0.001,0.001,bail,1,0.8942572578936215,Niftygat
16,64,0.01,0.0001,0.5,0.1,0.001,0.001,0.001,bail,2,0.9035812672176309,Niftygat
256,64,0.01,0.01,0.7,0.0001,0.1,0.01,0.01,pokec_n,1,0.6263736263736264,Niftygcn
4,128,0.01,1e-06,0.4,0.01,0.0001,0.001,0.01,nba,1,0.676056338028169,Niftygcn
256,128,0.01,0.01,0.3,0.1,0.001,0.0001,0.1,pokec_z,1,0.6569190600522193,Niftygcn
4,64,1e-05,1e-05,0.4,0.0001,0.0001,0.0001,0.0001,income,1,0.7946573124662709,Niftygcn
64,16,1e-05,0.01,0.3,0.01,0.01,0.001,0.01,income,4,0.7844036697247706,Niftygcn
256,64,0.01,0.0001,0.6,0.01,0.01,0.01,0.0001,bail,1,0.8753973299427845,Niftygcn
128,4,0.01,1e-05,0.4,0.1,0.001,0.1,0.0001,pokec_n,2,0.6056884292178409,Niftygcn
128,16,0.01,1e-06,0.6,0.0001,0.01,0.01,0.0001,bail,4,0.8826022462386098,Niftygcn
128,128,0.01,1e-06,0.6,0.001,0.0001,0.001,0.01,pokec_n,3,0.6011635423400129,Niftygcn
4,256,0.001,0.0001,0.6,0.1,0.0001,0.001,0.1,pokec_z,2,0.6219321148825065,Niftygcn
64,64,0.01,0.0001,0.7,0.0001,0.01,0.001,0.001,nba,2,0.7276995305164319,Niftygcn
256,4,1e-05,0.001,0.7,0.0001,0.001,0.1,0.1,income,2,0.7857528332433891,Niftygcn
256,16,0.01,0.01,0.7,0.0001,0.1,0.01,0.001,income,5,0.7844036697247706,Niftygcn
256,32,0.01,0.0001,0.7,0.0001,0.001,0.001,0.01,bail,5,0.8387370205552024,Niftygcn
32,4,0.01,0.0001,0.3,0.1,0.0001,0.001,0.1,pokec_n,4,0.6089204912734324,Niftygcn
32,256,0.01,0.01,0.6,0.01,0.01,0.0001,0.1,pokec_z,3,0.6574412532637076,Niftygcn
256,256,0.01,1e-06,0.7,0.0001,0.0001,0.0001,0.001,bail,2,0.8999788090697182,Niftygcn
64,128,0.01,1e-06,0.4,0.0001,0.01,0.001,0.0001,pokec_n,5,0.6224951519069166,Niftygcn
4,256,0.01,0.0001,0.7,0.01,0.001,0.001,0.1,nba,3,0.7464788732394366,Niftygcn
256,64,0.01,0.01,0.7,0.001,0.01,0.01,0.0001,pokec_z,4,0.6360313315926893,Niftygcn
128,256,0.01,0.001,0.7,0.1,0.001,0.01,0.0001,income,3,0.784943335132218,Niftygcn
64,256,0.01,0.0001,0.4,0.1,0.001,0.001,0.01,bail,3,0.8236914600550964,Niftygcn
64,16,0.01,0.01,0.7,0.0001,0.0001,0.1,0.1,pokec_z,5,0.6297650130548302,Niftygcn
16,32,0.01,0.01,0.5,0.01,0.001,0.01,0.01,nba,4,0.6713615023474179,Niftygcn
4,64,0.01,0.0001,0.5,0.001,0.1,0.1,0.001,nba,5,0.6995305164319249,Niftygcn
256,16,0.01,0.01,0.7,0.1,0.001,0.01,0.1,pokec_n,1,0.6250808015513898,Niftygat
256,128,0.001,1e-06,0.3,0.0001,0.0001,0.01,0.001,nba,1,0.7136150234741784,Niftygat
16,16,0.01,1e-06,0.7,0.1,0.01,0.01,0.001,pokec_z,1,0.6516971279373368,Niftygat
128,32,0.01,0.0001,0.5,0.001,0.1,0.01,0.001,income,1,0.8221802482460874,Niftygat
32,256,0.01,1e-05,0.5,0.1,0.001,0.0001,0.0001,bail,1,0.8946810764992583,Niftygat
256,32,0.01,0.01,0.6,0.01,0.001,0.0001,0.0001,pokec_n,2,0.6134453781512605,Niftygat
32,128,0.001,0.0001,0.5,0.0001,0.01,0.01,0.001,nba,2,0.7323943661971831,Niftygat
64,32,0.0001,0.01,0.4,0.1,0.001,0.001,0.0001,pokec_z,2,0.6302872062663185,Niftygat
256,4,0.01,0.0001,0.4,0.1,0.01,0.0001,0.1,income,2,0.8259579060982191,Niftygat
4,32,0.01,0.01,0.4,0.001,0.0001,0.0001,0.01,pokec_n,3,0.6043956043956044,Niftygat
64,32,0.001,0.01,0.3,0.001,0.1,0.0001,0.001,bail,2,0.8961644416189871,Niftygat
128,64,0.001,0.01,0.3,0.1,0.01,0.0001,0.1,nba,3,0.6995305164319249,Niftygat
16,128,0.01,1e-05,0.3,0.001,0.001,0.1,0.0001,pokec_n,4,0.6153846153846154,Niftygat
256,32,0.01,0.001,0.3,0.001,0.0001,0.01,0.001,income,3,0.8200215866162979,Niftygat
32,16,0.001,1e-05,0.5,0.0001,0.0001,0.01,0.001,pokec_z,3,0.6600522193211488,Niftygat
16,64,0.01,0.0001,0.5,0.001,0.01,0.001,0.01,bail,3,0.8859927950837042,Niftygat
64,256,0.01,1e-05,0.4,0.001,0.001,0.01,0.001,pokec_n,5,0.6173238526179703,Niftygat
64,64,0.001,0.01,0.3,0.1,0.01,0.01,0.01,nba,4,0.6854460093896714,Niftygat
64,64,0.01,0.01,0.6,0.001,0.01,0.01,0.01,pokec_z,4,0.6302872062663185,Niftygat
64,32,0.01,0.001,0.6,0.01,0.01,0.001,0.001,income,4,0.8219104155423638,Niftygat
128,128,0.01,0.0001,0.7,0.001,0.001,0.01,0.001,bail,4,0.9215935579571943,Niftygat
64,64,0.001,0.01,0.5,0.01,0.001,0.01,0.01,nba,5,0.676056338028169,Niftygat
16,128,0.01,1e-06,0.7,0.0001,0.01,0.01,0.01,pokec_z,5,0.6292428198433421,Niftygat
256,4,0.01,0.0001,0.3,0.0001,0.0001,0.001,0.1,income,5,0.8200215866162979,Niftygat
16,256,0.01,0.0001,0.3,0.01,0.001,0.1,0.01,bail,5,0.9010383555838102,Niftygat
128,128,0.01,0.01,0.3,0.001,0.0001,0.001,0.01,income,4,0.8416082029141932,Niftysage
256,4,0.01,0.01,0.7,0.001,0.0001,0.001,0.001,pokec_n,1,0.6489980607627667,Niftysage
4,4,0.01,0.01,0.3,0.01,0.1,0.0001,0.0001,bail,4,0.90633608815427,Niftysage
256,4,0.01,0.0001,0.3,0.001,0.1,0.01,0.001,nba,1,0.7511737089201878,Niftysage
256,256,0.01,0.001,0.4,0.0001,0.0001,0.001,0.01,income,1,0.8340528872099299,Niftysage
256,128,0.0001,0.01,0.7,0.1,0.1,0.0001,0.1,pokec_z,1,0.6616187989556136,Niftysage
4,32,0.01,1e-05,0.3,0.1,0.001,0.1,0.01,bail,1,0.8959525323161687,Niftysage
256,32,0.01,0.01,0.4,0.01,0.01,0.0001,0.0001,income,5,0.8451160280626012,Niftysage
16,16,0.001,0.001,0.5,0.01,0.0001,0.01,0.001,pokec_n,2,0.6186166774402069,Niftysage
