256,128,0.01,0.002,0.3,income,3,0.8140852671343767,GAT
256,16,0.01,0.002,0.7,income,4,0.8256880733944955,GAT
256,4,0.01,0.002,0.3,income,5,0.8189422558014031,GAT
16,64,0.01,0.002,0.5,pokec_z,1,0.6532637075718015,GAT
4,64,0.01,1e-05,0.5,pokec_z,2,0.6313315926892951,GAT
256,128,0.01,0.05,0.7,pokec_z,3,0.6590078328981723,GAT
16,256,0.01,0.05,0.3,pokec_z,4,0.6339425587467363,GAT
128,128,0.01,0.05,0.3,pokec_z,5,0.6407310704960836,GAT
16,16,0.01,0.01,0.3,bail,2,0.9023098114007205,gat
16,64,0.001,0.01,0.5,bail,1,0.8931977113795295,gat
16,128,0.01,0.01,0.5,bail,5,0.8999788090697182,gat
64,16,0.001,0.05,0.3,nba,1,0.7323943661971831,gat
128,64,0.001,0.05,0.3,nba,2,0.755868544600939,gat
256,16,0.01,0.001,0.3,income,2,0.8264975715056665,gat
64,16,0.01,0.001,0.5,income,1,0.8140852671343767,gat
4,256,0.01,1e-05,0.3,bail,4,0.9143886416613689,gat
16,256,0.001,0.01,0.5,nba,3,0.7276995305164319,gat
64,64,0.001,0.05,0.3,nba,5,0.7230046948356808,gat
256,16,0.01,0.001,0.3,bail,3,0.882178427632973,gat
64,256,0.01,0.002,0.7,pokec_n,5,0.6237879767291532,gat
64,128,0.001,0.05,0.7,nba,4,0.7230046948356808,gat
4,128,0.01,0.05,0.3,pokec_n,2,0.6302521008403361,gat
16,16,0.01,0.01,0.7,pokec_n,3,0.6153846153846154,gat
256,128,0.001,0.01,0.5,pokec_n,1,0.6263736263736264,gat
16,256,0.01,0.01,0.3,pokec_n,4,0.6296056884292178,gat
64,256,0.001,0.01,0.7,nba,5,0.7276995305164319,gat
128,64,0.001,0.05,0.7,nba,1,0.7464788732394366,gat
16,128,0.001,0.05,0.5,nba,2,0.755868544600939,gat
16,128,0.001,0.05,0.3,nba,4,0.7417840375586855,gat
256,256,0.0001,0.01,0.3,nba,3,0.7089201877934272,gat
256,16,0.001,0.05,0.7,bail,1,0.8866285229921593,gat
128,64,0.01,0.01,0.3,bail,2,0.9006145369781734,gat
